ensembl_id,ot_overall_max,ot_genetic_max,ot_animal_model_max,release,release_date,era
ENSG00000120659,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000010610,1.0,0.3550029384593169,0.3269959968510766,20.06,2020-06-01,A
ENSG00000166136,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000019991,1.0,1.0,0.3044737657029479,20.06,2020-06-01,A
ENSG00000196230,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000067836,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000197891,1.0,1.0,0.30890074943940543,20.06,2020-06-01,A
ENSG00000140009,1.0,1.0,0.3269642747258351,20.06,2020-06-01,A
ENSG00000144182,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000174437,1.0,1.0,0.3269952967954309,20.06,2020-06-01,A
ENSG00000101966,1.0,1.0,0.32180830557370227,20.06,2020-06-01,A
ENSG00000149295,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000106397,1.0,1.0,0.3167095181604857,20.06,2020-06-01,A
ENSG00000047457,1.0,1.0,0.32651864451932133,20.06,2020-06-01,A
ENSG00000140675,1.0,0.7000000273870911,0.32692460681674473,20.06,2020-06-01,A
ENSG00000112038,1.0,1.0,0.3241078913983696,20.06,2020-06-01,A
ENSG00000090932,1.0,1.0,0.3269100475253727,20.06,2020-06-01,A
ENSG00000234438,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000133019,1.0,1.0,0.32013109230339165,20.06,2020-06-01,A
ENSG00000102755,1.0,1.0,0.30880428635616625,20.06,2020-06-01,A
ENSG00000160712,1.0,1.0,0.3130548617013439,20.06,2020-06-01,A
ENSG00000120217,1.0,0.814083743116094,0.325506306622963,20.06,2020-06-01,A
ENSG00000162736,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000125726,1.0,1.0,0.3088582430684134,20.06,2020-06-01,A
ENSG00000151150,1.0,1.0,0.3194072661526286,20.06,2020-06-01,A
ENSG00000181072,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000197249,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000136869,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000185624,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000145012,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000115232,1.0,1.0,0.3171588837321434,20.06,2020-06-01,A
ENSG00000174175,1.0,1.0,0.3268961290220299,20.06,2020-06-01,A
ENSG00000130226,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000188389,1.0,1.0,0.3266996208702385,20.06,2020-06-01,A
ENSG00000186297,1.0,1.0,0.32603542571556005,20.06,2020-06-01,A
ENSG00000160791,1.0,1.0,0.32675584130514196,20.06,2020-06-01,A
ENSG00000182326,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000136634,1.0,1.0,0.32692149154554456,20.06,2020-06-01,A
ENSG00000148408,1.0,1.0,0.32524054224599835,20.06,2020-06-01,A
ENSG00000077238,1.0,1.0,0.3262083282258514,20.06,2020-06-01,A
ENSG00000162594,1.0,1.0,0.2989205306059461,20.06,2020-06-01,A
ENSG00000100346,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000072694,1.0,1.0,0.32698205568668004,20.06,2020-06-01,A
ENSG00000198900,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000072274,1.0,1.0,0.3267105682663295,20.06,2020-06-01,A
ENSG00000121853,1.0,1.0,0.25,20.06,2020-06-01,A
ENSG00000106804,1.0,1.0,0.3258288344554043,20.06,2020-06-01,A
ENSG00000232810,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000143799,1.0,1.0,0.3170136953908461,20.06,2020-06-01,A
ENSG00000183813,1.0,0.6649957960362847,0.318399738229263,20.06,2020-06-01,A
ENSG00000123080,1.0,0.39339199248287415,0.3268472083077586,20.06,2020-06-01,A
ENSG00000091106,1.0,1.0,0.32392647214775483,20.06,2020-06-01,A
ENSG00000111537,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000136244,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000048052,1.0,1.0,0.32295479395599547,20.06,2020-06-01,A
ENSG00000169194,1.0,1.0,0.3263673062252395,20.06,2020-06-01,A
ENSG00000132855,1.0,1.0,0.27323833333333336,20.06,2020-06-01,A
ENSG00000134333,1.0,1.0,0.3269498296184295,20.06,2020-06-01,A
ENSG00000088926,1.0,1.0,0.31703415442856664,20.06,2020-06-01,A
ENSG00000142166,1.0,0.7580753564834595,0.32320380529779047,20.06,2020-06-01,A
ENSG00000026508,1.0,1.0,0.3255796766000694,20.06,2020-06-01,A
ENSG00000166828,1.0,1.0,0.32490296789236395,20.06,2020-06-01,A
ENSG00000117594,1.0,1.0,0.32636707905295576,20.06,2020-06-01,A
ENSG00000178394,1.0,1.0,0.3224496724694411,20.06,2020-06-01,A
ENSG00000117586,1.0,1.0,0.30829052026298875,20.06,2020-06-01,A
ENSG00000066230,1.0,1.0,0.32592953704448724,20.06,2020-06-01,A
